condition,seed,method,MAE,KL,n,m_sources
complementary,47,rel_wtd_mean,0.13673218737068357,1.2955486179313926,6792,5
complementary,47,median,0.14493373088311448,3.8125306490678934,6792,5
complementary,47,dempster_shafer,0.2293416369779138,11.297204904762753,6792,5
complementary,47,corr_cluster,0.1306399555058752,1.2659001634734823,6792,5
complementary,47,sugeno,0.1321137795093111,1.2662622686678051,6792,5
complementary,89,Choquet(ours),0.11229593175057677,2.3299628573304667,6707,5
complementary,89,naive_mean,0.09384716197393532,2.2626184485813363,6707,5
complementary,89,rel_wtd_mean,0.11199166511269108,2.3309696956450074,6707,5
complementary,89,median,0.12456906117971243,4.759613217239266,6707,5
complementary,89,dempster_shafer,0.19141077937196233,9.232305457580319,6707,5
complementary,89,corr_cluster,0.09384716197393532,2.2626184485813363,6707,5
complementary,89,sugeno,0.10892093669152837,2.3146073144228523,6707,5
complementary,137,Choquet(ours),0.11994189599356246,3.542667829902178,6466,5
complementary,137,naive_mean,0.12590450934988415,3.5646595530854457,6466,5
complementary,137,rel_wtd_mean,0.12091681171730831,3.547516573931467,6466,5
complementary,137,median,0.16047461137974214,7.141443692426982,6466,5
complementary,137,dempster_shafer,0.14962632035913262,6.833687915875597,6466,5
complementary,137,corr_cluster,0.12590450934988415,3.5646595530854457,6466,5
complementary,137,sugeno,0.12107058970678894,3.543769307119963,6466,5
complementary,199,Choquet(ours),0.12635906956524692,2.6765882672770647,6715,5
complementary,199,naive_mean,0.1184903653109989,2.61544113172426,6715,5
complementary,199,rel_wtd_mean,0.12609416240590218,2.680090978797954,6715,5
complementary,199,median,0.1490441787119017,6.8701584972853125,6715,5
complementary,199,dempster_shafer,0.17837051347210045,8.78673056649155,6715,5
complementary,199,corr_cluster,0.1184903653109989,2.61544113172426,6715,5
complementary,199,sugeno,0.12713583203338394,2.6797007847582837,6715,5
complementary,313,Choquet(ours),0.12598583827938226,3.018567586924603,6522,5
complementary,313,naive_mean,0.13023598407384238,3.050906799173863,6522,5
complementary,313,rel_wtd_mean,0.12770702652912339,3.028088413437926,6522,5
complementary,313,median,0.16748935252251368,7.2546950884329,6522,5
complementary,313,dempster_shafer,0.12939950295353234,5.655306332162197,6522,5
complementary,313,corr_cluster,0.13023598407384238,3.050906799173863,6522,5
complementary,313,sugeno,0.12637535112059528,3.0142991752282056,6522,5
heavy_bias,20260613,Choquet(ours),0.08889091165264577,0.872416669944872,6854,5
heavy_bias,20260613,naive_mean,0.09880601585158,0.937777684827955,6854,5
heavy_bias,20260613,rel_wtd_mean,0.09416080197072753,0.9092448674573412,6854,5
heavy_bias,20260613,median,0.12392627194074028,4.668014759723383,6854,5
heavy_bias,20260613,dempster_shafer,0.17083721443526956,3.8859407611121735,6854,5
heavy_bias,20260613,corr_cluster,0.10750350271951462,1.0008975875091242,6854,5
heavy_bias,20260613,sugeno,0.07749690972935588,0.8016595676227848,6854,5
heavy_bias,7,Choquet(ours),0.15608854535965022,1.3366847369359773,6829,5
heavy_bias,7,naive_mean,0.16945780169626837,1.4742519189148073,6829,5
heavy_bias,7,rel_wtd_mean,0.1614190124225974,1.4038846866708503,6829,5
heavy_bias,7,median,0.19739881952775967,7.078488582497235,6829,5
heavy_bias,7,dempster_shafer,0.16544966010284037,4.052107287392751,6829,5
heavy_bias,7,corr_cluster,0.1852747295152877,1.6409934342770245,6829,5
heavy_bias,7,sugeno,0.14280148611150442,1.190739782646248,6829,5
heavy_bias,101,Choquet(ours),0.1246484879448724,1.1123158115359697,6843,5
heavy_bias,101,naive_mean,0.13415652150206278,1.1979587665515903,6843,5
heavy_bias,101,rel_wtd_mean,0.13041828825935076,1.1684141850416982,6843,5
heavy_bias,101,median,0.16041305098846365,5.212339269052335,6843,5
heavy_bias,101,dempster_shafer,0.17628876465952378,8.545781739482626,6843,5
heavy_bias,101,corr_cluster,0.14399681372489972,1.2856015852673432,6843,5
heavy_bias,101,sugeno,0.10958882617037578,0.9950475591074341,6843,5
heavy_bias,11,Choquet(ours),0.141652776650234,1.1851466511858264,6830,5
heavy_bias,11,naive_mean,0.1385414438742288,1.2225483315500352,6830,5
heavy_bias,11,rel_wtd_mean,0.13999325387250586,1.2110353921711579,6830,5
heavy_bias,11,median,0.1394525211033018,4.053903408205385,6830,5
heavy_bias,11,dempster_shafer,0.1679618449944863,8.414247219842668,6830,5
